"Location","iso3code","sex_ratio_linkedin_overall_unfiltered","sex_ratio_ilostat_prof_tech_unfiltered","sex_ratio_ilostat_total_management_unfiltered","sex_ratio_ilostat_senior_middle_management_unfiltered","sex_ratio_linkedin_overall_filtered","sex_ratio_ilostat_prof_tech_filtered","sex_ratio_ilostat_total_management_filtered","sex_ratio_ilostat_senior_middle_management_filtered","audience_counts_satisfy_observation_filter","sex_ratio_edu_ict","sex_ratio_edu_stem","sex_ratio_labour_force_part","iws_int_pentr","educ_attn_gg_subindex_raw","enrol_sec_educ_gg_raw","labr_force_gg_raw","enrol_ter_educ_gg_raw","hdi_fem","hdi_male","hdi_tot","econ_opp_gg_subindex_raw","gdp_capita_2020_recent","li_pen_labor_force_proftech_female_male","li_pen_labor_force_proftech_sex_ratio","Internet.Online.model.prediction","Group_18-24","Group_25-34","Group_35-54","sex_ratio_Age_18-24","sex_ratio_Age_25-34","sex_ratio_Age_35-54","sex_ratio_Age_55+","sex_ratio_Age_18-24_25-34","sex_ratio_Age_18-24_35-54","sex_ratio_Age_18-24_55+","sex_ratio_Age_25-34_35-54","sex_ratio_Age_25-34_55+","sex_ratio_Age_35-54_55+","sex_ratio_Age_18-24_25-34_35-54","sex_ratio_Age_18-24_25-34_55+","sex_ratio_Age_18-24_35-54_55+","sex_ratio_Age_25-34_35-54_55+","sex_ratio_Age_18-24_25-34_35-54_55+","sex_ratio_Company industry_M.Professional,scientificandtechnicalactivities","sex_ratio_Company industry_H.Transportationandstorage","sex_ratio_Company industry_Q.Humanhealthandsocialworkactivities","sex_ratio_Company industry_R.Arts,entertainmentandrecreation","sex_ratio_Company industry_G.Wholesaleandretailtrade;repairofmotorvehiclesandmotorcycles","sex_ratio_Company industry_C.Manufacturing","sex_ratio_Company industry_K.Financialandinsuranceactivities","sex_ratio_Company industry_J.Informationandcommunication","sex_ratio_Company industry_F.Construction","sex_ratio_Company industry_N.Administrativeandsupportserviceactivities","sex_ratio_Company industry_S.Otherserviceactivities","sex_ratio_Company industry_P.Education","sex_ratio_Company industry_O.Publicadministrationanddefence;compulsorysocialsecurity","sex_ratio_Company industry_I.Accommodationandfoodserviceactivities","sex_ratio_Company industry_B.Miningandquarrying","sex_ratio_Job seniority_ChiefXOfficer(CxO)","sex_ratio_Job seniority_Director","sex_ratio_Job seniority_Entry-level","sex_ratio_Job seniority_Manager","sex_ratio_Job seniority_Owner","sex_ratio_Job seniority_Senior","sex_ratio_Job seniority_Training","sex_ratio_Job seniority_VicePresident(VP)"
"Afghanistan","AFG",0.206666666666667,0.213283442469598,0.0416666666666667,0.044932079414838,0.206666666666667,0.213283442469598,0.0416666666666667,0.044932079414838,TRUE,NA,NA,0.289311545673721,0.176,NA,NA,NA,NA,0.36399999,0.583,0.498,NA,2293.55168387905,0.465176047288615,0.968976608187134,0.568,0.304015296367113,0.37093690248566,0.286806883365201,0.223076923076923,0.2125,0.153846153846154,0,0.217241379310345,0.188461538461538,0.193333333333333,0.186206896551724,0.188888888888889,0.133333333333333,0.197619047619048,0.203225806451613,0.175,0.174193548387097,0.188636363636364,0.100260416666667,0.204379562043796,0.168350168350168,0,0.101827676240209,0.0584269662921348,0.2,0.197368421052632,0.102956167176351,0,0.218055555555556,0.236111111111111,0.185388127853881,NA,0,0.142105263157895,0.194,0.205,0.18,0.191666666666667,0.185714285714286,0.236363636363636,0.165217391304348
"Aland Islands","ALA",0.572727272727273,NA,NA,NA,0.572727272727273,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328063241106719,0.357707509881423,0.314229249011858,0.66,0.508333333333333,0.59,NA,0.577272727272727,0.625,0.66,0.545454545454545,0.508333333333333,0.59,0.58125,0.577272727272727,0.625,0.545454545454545,0.58125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,0.6875,NA,NA
"Albania","ALB",0.985074626865672,1.1885014137606,0.517450682852807,0.703577512776831,0.985074626865672,1.1885014137606,0.517450682852807,0.703577512776831,TRUE,0.776416647866257,0.874536872234004,0.723400960198235,0.65799999,0.99000001,0.98000002,0.68000001,1.41,0.77200001,0.796,0.78500003,0.67000002,14495.0785140737,0.572782084409991,0.828837572644312,0.75,0.394765071872989,0.418365157691483,0.169491525423729,1.19047619047619,1.29411764705882,0.837209302325581,NA,1.24260355029586,1.07086614173228,1.085776330076,1.140625,1.18152524167562,0.704500978473581,1.16037735849057,1.18577075098814,1.00666173205033,1.07274063188832,1.11767378464334,0.964015151515151,0.794520547945205,1.71287128712871,0.654255319148936,0.648401826484018,0.517587939698492,1.41025641025641,0.817375886524823,0.444015444015444,NA,1.46268656716418,1.54421768707483,1.16071428571429,0.472972972972973,0.571428571428571,0.463636363636364,0.842105263157895,1,0.666666666666667,0.476470588235294,1.12359550561798,1.38983050847458,0.590361445783133
"Algeria","DZA",0.441558441558442,0.689225677205818,0.091703056768559,NA,0.441558441558442,0.689225677205818,0.091703056768559,NA,TRUE,0.958239370480873,1.39061730520055,0.21646884272997,0.49200001,0.95999998,1.0599999,0.23999999,1.53,0.68000001,0.79100001,0.75400001,0.44,11820.0876836807,0.572341961431371,0.640658722043785,0.763,0.333812949640288,0.448920863309352,0.192805755395683,0.705882352941177,0.591836734693878,0.34,0.133333333333333,0.63855421686747,0.550847457627119,0.649006622516556,0.506756756756757,0.559241706161137,0.31304347826087,0.569444444444444,0.61671469740634,0.525896414342629,0.488745980707395,0.554809843400447,0.450962176509622,0.274863387978142,0.707317073170732,0.388089528377298,0.301507537688442,0.314091412304286,0.587628865979381,0.31998021760633,0.222546419098143,0.369672131147541,0.444736842105263,0.719792438843588,0.422799422799423,0.295588235294118,0.181941309255079,0.198,0.265384615384615,0.39375,0.268292682926829,0.104545454545455,0.466666666666667,0.633802816901408,0.203389830508475
"American Samoa","ASM",0.774193548387097,NA,NA,NA,0.774193548387097,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3125,0.363425925925926,0.324074074074074,0.607142857142857,0.744444444444444,0.794871794871795,NA,0.67816091954023,0.697530864197531,0.607142857142857,0.767857142857143,0.744444444444444,0.794871794871795,0.714285714285714,0.67816091954023,0.697530864197531,0.767857142857143,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846153846153846,NA,NA,0.8,NA,NA
"Andorra","AND",0.8125,NA,NA,NA,0.8125,NA,NA,NA,TRUE,Inf,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232722143864598,0.366713681241185,0.351198871650212,0.701030927835051,1,0.66,NA,0.872246696035242,0.676113360323887,0.515151515151515,0.817857142857143,0.787878787878788,0.535135135135135,0.787798408488064,0.755725190839695,0.592198581560284,0.726984126984127,0.720873786407767,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565217391304348,1.025,0.52,0.447368421052632,0.769230769230769,NA,NA
"Angola","AGO",0.366666666666667,0.475092936802974,0.242236024844721,NA,0.366666666666667,0.475092936802974,0.242236024844721,NA,TRUE,0.611859936463705,0.623794170449025,0.964896717779749,0.223,0.77999997,0.81,0.77999997,0.80000001,NA,NA,0.58099997,0.56999999,6929.67815844764,0.482190860215054,0.771778821074596,0.793,0.400372439478585,0.437616387337058,0.145251396648045,0.387096774193548,0.424242424242424,0.3,0,0.40625,0.362790697674419,0.365853658536585,0.391111111111111,0.402298850574713,0.260869565217391,0.389473684210526,0.395136778115502,0.348214285714286,0.376068376068376,0.380462724935733,0.278592375366569,0.109722222222222,0.785714285714286,0.194581280788177,0.32983682983683,0.0437580437580438,0.527777777777778,0.197217180883243,0.1875,0.427154843630816,0.331103678929766,0.410485933503836,0.261044176706827,0.347560975609756,0.213541666666667,0.178260869565217,0.242857142857143,0.327586206896552,0.261538461538462,0.188461538461538,0.324324324324324,0.34,0.221739130434783
"Anguilla","AIA",0.795454545454545,1,NA,NA,0.795454545454545,1,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64285714285714,0.795454545454545,NA,0,0.663716814159292,0.336283185840708,NA,NA,NA,NA,NA,NA,NA,0.486842105263158,NA,NA,0.486842105263158,NA,NA,0.486842105263158,0.486842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,1,NA,NA
"Antarctica","ATA",0.48,NA,NA,NA,0.48,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262295081967213,0.344262295081967,0.39344262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481818181818182,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",1,1.08333333333333,0.821493624772313,NA,1,1.08333333333333,0.821493624772313,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22816.4522023563,2.93333333333333,0.923076923076923,NA,0.234501347708895,0.38544474393531,0.380053908355795,NA,0.986111111111111,0.88,NA,1.14953271028037,1.07272727272727,NA,0.931972789115646,0.986111111111111,0.88,1.03846153846154,1.14953271028037,1.07272727272727,0.931972789115646,1.03846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08333333333333,0.755813953488372,NA,1.33333333333333,NA,NA
"Argentina","ARG",0.967741935483871,0.959775429326288,0.461988304093567,0.494768310911809,0.967741935483871,0.959775429326288,0.461988304093567,0.494768310911809,TRUE,NA,NA,0.697373848480682,0.93099999,1,1.0700001,0.69,1.61,0.81599998,0.81900001,0.82499999,0.62,22947.1397952874,2.05587947827845,1.00830038560497,1,0.284857571214393,0.384807596201899,0.274862568715642,1.19230769230769,1.08108108108108,0.774193548387097,0.460526315789474,1.12698412698413,0.964912280701754,1.02678571428571,0.941176470588235,0.975336322869955,0.712435233160622,1.01063829787234,1.05524079320113,0.905572755417957,0.892857142857143,0.969488188976378,1.00875015670051,0.388140161725067,1.80701754385965,1.17651322943095,0.87379718726869,0.424426177963437,0.766693483507643,0.572190418800844,0.276229508196721,0.922247191011236,1.309375,2.34,1.11560464007628,0.966666666666667,0.279310344827586,0.37037037037037,0.65,0.888888888888889,0.448275862068966,0.423076923076923,1.05172413793103,0.954545454545455,0.631578947368421
"Armenia","ARM",1.19444444444444,1.42972972972973,0.347708894878706,NA,1.19444444444444,1.42972972972973,0.347708894878706,NA,TRUE,0.625267579991201,0.661420178645866,0.71437243891334,0.72399998,1,1.15,0.76999998,1.21,0.74000001,0.764,0.755,0.67000002,14219.6277088197,0.292918057100482,0.835433732409158,0.92,0.285326086956522,0.400815217391304,0.278532608695652,1.70967741935484,1.45833333333333,1.1025641025641,0.76271186440678,1.55696202531646,1.37142857142857,1.55826558265583,1.29885057471264,1.3821892393321,1.05790645879733,1.40677966101695,1.5017667844523,1.32411067193676,1.26480086114101,1.37610976594027,1.58035714285714,NA,2.47222222222222,NA,NA,NA,1.38255033557047,0.776923076923077,NA,NA,NA,1.81159420289855,2.625,NA,NA,0.490909090909091,0.827586206896552,1.24358974358974,1,0.546153846153846,1.41071428571429,NA,NA
"Aruba","ABW",0.736842105263158,0.8625,NA,NA,0.736842105263158,0.8625,NA,NA,TRUE,NA,NA,NA,0.94599998,NA,NA,NA,NA,NA,NA,NA,NA,38442.4138382323,2.21476510067114,0.854309687261632,0.987,0.153631284916201,0.266759776536313,0.405027932960894,1.15686274509804,0.736363636363636,0.8125,0.488095238095238,0.869565217391304,0.895734597156398,0.740740740740741,0.781481481481481,0.628865979381443,0.700819672131147,0.841121495327103,0.738775510204082,0.779661016949153,0.711864406779661,0.767901234567901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955056179775281,NA,NA,0.5,0.85,0.613333333333333,0.454545454545455,0.846153846153846,NA,NA
"Australia","AUS",0.836734693877551,1.03896834041955,0.607717041800643,NA,0.836734693877551,1.03896834041955,0.607717041800643,NA,TRUE,0.2780362819164,0.472228904505639,0.850973751058425,0.87800002,1,1.03,0.86000001,1.4,0.926,0.94999999,0.93900001,0.72000003,53320.2690427848,1.5510021197029,0.805351483125718,1,0.177914110429448,0.328220858895706,0.368098159509202,1.07142857142857,1.0188679245283,0.714285714285714,0.413793103448276,1.03703703703704,0.816326530612245,0.736842105263158,0.845528455284553,0.804878048780488,0.626262626262626,0.887417218543046,0.872727272727273,0.724409448818898,0.763157894736842,0.811111111111111,0.892631907586638,0.40138592750533,1.86877828054299,1.15364806866953,1.02187326292385,0.387473460721868,0.807303370786517,0.518685612788632,0.248815165876777,0.907338308457711,1.51564310544612,1.39418604651163,1.01360014379007,0.963302752293578,0.293269230769231,0.379310344827586,0.536585365853659,0.928571428571429,0.595744680851064,0.583333333333333,0.916666666666667,1.02,0.31875
"Austria","AUT",0.666666666666667,0.896165803108808,0.497005988023952,0.470588235294118,0.666666666666667,0.896165803108808,0.497005988023952,0.470588235294118,TRUE,0.166845213431742,0.349575018826572,0.827099293976266,NA,0.99000001,0.97000003,0.88999999,1.2,0.89300001,0.92000002,0.90799999,0.64999998,59110.5625590813,0.601158596567931,0.74390995991366,0.969,0.186480186480186,0.376290376290376,0.356310356310356,0.931034482758621,0.883333333333333,0.550724637681159,0.278947368421053,0.898876404494382,0.663265306122449,0.672916666666667,0.705426356589147,0.737974683544304,0.492045454545455,0.746835443037975,0.789814814814815,0.600854700854701,0.650675675675676,0.696610169491525,0.7150146563891,0.352739726027397,1.07389162561576,0.922515635858235,0.713372402770378,0.314030941125913,0.525944036946482,0.409885403403172,0.233333333333333,0.85489166119501,1.27599243856333,1.15808823529412,0.710659898477157,0.752380952380952,0.3,0.2,0.4,0.705882352941177,0.452380952380952,0.366666666666667,0.646153846153846,0.969230769230769,0.186486486486486
"Azerbaijan","AZE",0.545454545454545,1.33244897959184,0.557632398753894,NA,0.545454545454545,1.33244897959184,0.557632398753894,NA,TRUE,0.85074620236133,0.540809020265799,0.909234298824204,0.87900001,0.99000001,0.98000002,0.93000001,1.14,0.73400003,0.773,0.75700003,0.73000002,15000.8164973542,0.118995537667337,0.409362424985032,0.693,0.270326042096575,0.402393726784977,0.29508873297565,0.701298701298701,0.625,0.43,0.3,0.654822335025381,0.548022598870056,0.647191011235955,0.536363636363636,0.595454545454545,0.416071428571429,0.579124579124579,0.63444976076555,0.532275132275132,0.524137931034483,0.568284789644013,0.519817073170732,0.151960784313725,0.989247311827957,0.164893617021277,0.161073825503356,0.0715835140997831,0.506024096385542,0.384,0.213903743315508,0.5625,NA,0.913934426229508,0.333333333333333,0.365853658536585,0.315068493150685,0.25,0.379310344827586,0.505555555555556,0.395833333333333,0.32,0.571428571428571,NA,0.281818181818182
"Bahamas","BHS",1.04545454545455,1.37128712871287,1.06611570247934,NA,1.04545454545455,1.37128712871287,1.06611570247934,NA,TRUE,NA,NA,0.834640843343957,0.79000002,1,1.08,0.91000003,NA,NA,NA,0.80699998,0.82999998,37265.8121022677,1.87891440501044,0.762389235313423,0.468,0.174603174603175,0.285714285714286,0.386243386243386,1.2,1.34782608695652,0.921052631578947,0.8125,1.28947368421053,1,1,1.08196721311475,1.12820512820513,0.888888888888889,1.10526315789474,1.14814814814815,0.956521739130435,1.02597402597403,1.05434782608696,1.35338345864662,0.290123456790123,3.53488372093023,1.05825242718447,1.95483870967742,NA,1.59800664451827,0.687830687830688,0.208029197080292,0.602150537634409,NA,2.49473684210526,1.00884955752212,1.14840989399293,NA,0.396,0.736842105263158,1.18181818181818,0.810810810810811,0.62962962962963,1.30555555555556,NA,0.523076923076923
"Bahrain","BHR",0.40625,0.399170124481328,0.118568232662192,NA,0.40625,0.399170124481328,0.118568232662192,NA,TRUE,0.891719847640883,0.701067641083573,0.515773775381439,0.83399999,0.99000001,1.05,0.47,2.3299999,0.80500001,0.86500001,0.84600002,0.47999999,46891.8598387148,1.33451957295374,1.01773648648649,0.809,0.161541731614,0.410939492702281,0.364177412498229,0.701492537313433,0.526315789473684,0.352631578947368,0.176315789473684,0.571984435797665,0.443579766536965,0.511428571428571,0.439473684210526,0.467982456140351,0.323245614035088,0.478747203579418,0.521016949152542,0.409152542372881,0.41555023923445,0.455051546391753,0.35987460815047,0.208718626155878,0.648876404494382,0.407258064516129,0.309417040358744,0.0726530612244898,0.381764269829503,0.22470341939986,0.168292682926829,0.307531380753138,NA,0.884615384615385,0.265415549597855,0.371048252911814,0.175675675675676,0.17037037037037,0.252873563218391,0.369565217391304,0.23125,0.288235294117647,0.378378378378378,0.7,0.150819672131148
"Bangladesh","BGD",0.345454545454545,0.350045359944501,0.119820828667413,0.129943502824859,0.345454545454545,0.350045359944501,0.119820828667413,0.129943502824859,TRUE,0.374574792470134,0.258702828695454,0.445618778419565,0.95899999,0.94999999,1.09,0.54000002,0.74000001,0.56699997,0.64399999,0.60799998,0.41,4950.74358140884,0.292507460916655,0.986885086862219,0.642,0.39365671641791,0.386194029850746,0.199626865671642,0.241176470588235,0.217647058823529,0.150537634408602,0.1,0.229411764705882,0.209125475285171,0.233333333333333,0.193916349809886,0.211111111111111,0.145631067961165,0.212471131639723,0.225714285714286,0.205128205128205,0.19047619047619,0.209932279909707,0.199339207048458,0.118107156824404,0.230634828188701,0.252972258916777,0.134529718722159,0.109484707842437,0.191333088505325,0.185332532652755,0.12863436123348,0.143514644351464,0.25091407678245,0.281586402266289,0.130557515878617,0.117910447761194,0.121642969984202,0.132,0.136111111111111,0.182608695652174,0.132758620689655,0.130769230769231,0.188888888888889,0.247826086956522,0.1425
"Barbados","BRB",1.08571428571429,1.16939890710383,0.945525291828794,NA,1.08571428571429,1.16939890710383,0.945525291828794,NA,TRUE,NA,NA,0.893022582513028,0.54799998,1,1.0599999,0.92000002,2.25,0.80500001,0.792,0.80000001,0.82999998,16286.9795151271,1.83879093198992,0.928437917222964,0.992,0.154028436018957,0.33175355450237,0.367298578199052,1.36363636363636,1.33333333333333,1.06666666666667,0.653333333333333,1.34285714285714,1.14634146341463,0.953846153846154,1.18518518518519,1.07179487179487,0.928888888888889,1.21538461538462,1.136,1.01428571428571,1.0695652173913,1.11,2.02395209580838,NA,Inf,0.933962264150943,2.54081632653061,NA,1.39516129032258,0.666666666666667,0.278571428571429,0.705882352941177,NA,1.60909090909091,1.56896551724138,1.36363636363636,NA,0.391666666666667,0.722222222222222,1.25,0.884615384615385,0.647058823529412,1.30357142857143,NA,0.506666666666667
"Belarus","BLR",0.904761904761905,1.90109249817917,0.964636542239686,NA,0.904761904761905,1.90109249817917,0.964636542239686,NA,TRUE,0.299370896586709,0.377715805059276,0.804626532887402,0.79900002,1,1.01,0.89999998,1.33,0.81400001,0.79900002,0.80800003,0.81999999,19943.2925233137,0.200843542880096,0.475916824472491,1,0.228310502283105,0.464231354642314,0.266362252663623,1,0.967741935483871,0.666666666666667,0.636363636363636,0.978260869565217,0.805555555555556,0.934426229508197,0.846153846153846,0.935860058309038,0.662551440329218,0.880597014925373,0.955375253549696,0.791348600508906,0.833634719710669,0.869132290184922,1.18518518518519,0.624290578887628,1.79136690647482,1.14803625377644,1.00832870627429,0.453252032520325,1.12413793103448,0.537985694954572,0.380374862183021,1.50194552529183,1.87012987012987,2.59232613908873,0.5,1.55932203389831,0.309148264984227,0.235483870967742,0.466666666666667,0.80952380952381,1,0.282857142857143,1.25,1.05405405405405,0.61875
"Belgium","BEL",0.722222222222222,0.947872520766232,0.485884101040119,0.468428781204112,0.722222222222222,0.947872520766232,0.485884101040119,0.468428781204112,TRUE,0.10961731961728,0.348289640659238,0.828109028960818,0.71100003,1,1.01,0.87,1.3099999,0.90100002,0.92799997,0.91600001,0.73000002,54545.1508845001,1.34894042905009,0.761940246604469,0.954,0.152631578947368,0.324561403508772,0.403508771929825,0.933333333333333,0.947368421052632,0.703703703703704,0.416666666666667,0.942857142857143,0.761111111111111,0.666666666666667,0.804347826086957,0.769230769230769,0.628415300546448,0.825454545454545,0.808510638297872,0.68859649122807,0.737410071942446,0.764705882352941,0.729490672814924,0.399094437257439,1.57488653555219,0.815922381711855,0.85181660899654,0.432876982172757,0.658181485211977,0.412609928396367,0.244916820702403,1.03165938864629,1.2625,1.25496183206107,0.914685171956322,0.707692307692308,0.353571428571429,0.275,0.469135802469136,0.826923076923077,0.509090909090909,0.284210526315789,0.743589743589744,1.04545454545455,0.27037037037037
"Belize","BLZ",0.863636363636364,0.912,1.04498977505112,NA,0.863636363636364,0.912,1.04498977505112,NA,TRUE,0.241379241854938,0.719101260737292,0.619106699751861,0.94400001,0.99000001,1.0599999,0.68000001,1.64,0.699,0.71399999,0.708,0.69,7295.23013575062,1.71548117154812,0.946969696969697,1,0.342396777442095,0.342396777442095,0.251762336354481,1.125,1,0.666666666666667,NA,1.06060606060606,0.903225806451613,0.807174887892377,0.84375,0.729613733905579,0.469483568075117,0.9375,0.89058524173028,0.750670241286863,0.704960835509138,0.828729281767956,1.22916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34313725490196,NA,0.962962962962963,NA,NA,0.710526315789474,0.796610169491525,0.588235294117647,0.507142857142857,0.972222222222222,NA,NA
"Benin","BEN",0.44,NA,NA,NA,0.44,NA,NA,NA,TRUE,1.22562693685184,1.21654687708494,NA,0.523,0.70999998,0.68000001,0.97000003,0.37,0.479,0.54699999,0.51499999,0.80000001,3423.55172692169,NA,NA,0.705,0.35056967572305,0.394390885188431,0.204498977505112,0.363636363636364,0.5,0.428571428571429,0.235714285714286,0.432584269662921,0.386861313868613,0.346078431372549,0.474820143884892,0.464423076923077,0.385714285714286,0.431718061674009,0.418229166666667,0.372847682119205,0.452941176470588,0.420331950207469,0.238744884038199,0.116104868913858,0.754098360655738,0.194594594594595,0.207964601769911,0.154970760233918,0.615650172612198,0.236652236652237,0.243076923076923,0.221238938053097,0.310344827586207,0.292,0.297333333333333,NA,0.351758793969849,0.354838709677419,0.381818181818182,0.48,0.414634146341463,0.295652173913043,0.289285714285714,0.541666666666667,0.368
"Bermuda","BMU",1,1.04651162790698,NA,NA,1,1.04651162790698,NA,NA,TRUE,0.499999925000004,0.255813947647377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59474.5984816533,2.04545454545455,0.955555555555555,NA,0.0914760914760915,0.249480249480249,0.446985446985447,NA,1.4,0.791666666666667,0.854545454545454,1.2312925170068,0.804878048780488,0.859872611464968,0.970588235294118,1.11428571428571,0.811428571428571,0.958656330749354,1.07003891050584,0.818639798488665,0.942222222222222,0.935613682092555,1.24358974358974,NA,NA,NA,NA,NA,1.05466237942122,0.51304347826087,NA,NA,NA,NA,1.26,0.845070422535211,NA,0.325,0.707692307692308,1.26829268292683,0.714285714285714,0.558333333333333,1.2972972972973,NA,0.636363636363636
"Bhutan","BTN",1.38461538461538,0.444117647058824,0.226993865030675,NA,1.38461538461538,0.444117647058824,0.226993865030675,NA,TRUE,NA,NA,0.801470588235294,0.98400003,0.93000001,1.14,0.80000001,0.74000001,0.57599998,0.64499998,0.61199999,0.62,11613.1624746864,0.631364562118126,3.11767702496179,0.9,0.396270396270396,0.396270396270396,0.207459207459207,2.09090909090909,1.61538461538462,1.28205128205128,NA,1.83333333333333,1.75531914893617,2.09090909090909,1.49038461538462,1.61538461538462,1.28205128205128,1.69811320754717,1.83333333333333,1.75531914893617,1.49038461538462,1.69811320754717,NA,NA,NA,NA,NA,NA,NA,NA,0.771739130434783,NA,NA,1.77777777777778,NA,NA,NA,NA,NA,1.48387096774194,1.12121212121212,NA,1.4,NA,NA
"Bolivia","BOL",0.666666666666667,0.829302987197724,0.633986928104575,0.436781609195402,0.666666666666667,0.829302987197724,0.633986928104575,0.436781609195402,TRUE,NA,NA,0.784649776453055,0.54799998,0.97000003,1.01,0.77999997,0.83999997,0.66500002,0.71600002,0.69300002,0.62,9086.06069605746,0.777604976671851,0.803887935963408,0.902,0.485479742254391,0.357489628387325,0.136817018271692,0.692307692307692,0.760869565217391,0.476190476190476,0.237837837837838,0.720720720720721,0.63953488372093,0.66783114992722,0.671641791044776,0.721931589537223,0.440485829959514,0.681818181818182,0.70514385353095,0.622965440356745,0.648939179632249,0.669712601326455,0.660978670012547,0.438636363636364,1.0026525198939,0.634972677595628,0.633784655061251,0.354679802955665,0.703074433656958,0.358288770053476,0.261992619926199,0.681434599156118,0.780590717299578,0.895408163265306,0.606392694063927,0.775862068965517,0.260169491525424,0.297872340425532,0.469230769230769,0.63768115942029,0.379310344827586,0.38,0.633333333333333,0.568181818181818,0.633333333333333
"Bosnia and Herzegovina","BIH",0.8125,0.899891186071817,0.321003963011889,0.340482573726542,0.8125,0.899891186071817,0.321003963011889,0.340482573726542,TRUE,0.392335693249511,0.801645334585357,0.609646856158484,0.82499999,1,1.03,0.63,1.34,0.73900002,0.80000001,0.76800001,0.57999998,15791.6747394431,0.664375715922108,0.902886940749698,0.932,0.288828337874659,0.444141689373297,0.23433242506812,0.859649122807018,0.873563218390805,0.653846153846154,0.395348837209302,0.868055555555556,0.761467889908257,0.798780487804878,0.79136690647482,0.830543933054393,0.617161716171617,0.811224489795918,0.841415465268676,0.73469387755102,0.768292682926829,0.793743890518084,0.823647294589178,0,1.29133858267717,0.282758620689655,0.426966292134831,0.294943820224719,0.879464285714286,0.404657933042213,0.349794238683128,NA,1.16326530612245,1.38815789473684,0.94488188976378,NA,0.317307692307692,0.35,0.6,0.714285714285714,0.5,0.373333333333333,0.895348837209302,NA,0.56989247311828
"Botswana","BWA",0.725806451612903,0.925788497217069,0.628664495114007,NA,0.725806451612903,0.925788497217069,0.628664495114007,NA,TRUE,NA,NA,0.850195058517555,0.80699998,1,1.13,0.93000001,1.37,0.70700002,0.72500002,0.71700001,0.81999999,18502.8182229188,1.03082851637765,0.783987329497705,0.977,0.323529411764706,0.41421568627451,0.223039215686275,0.76,0.760416666666667,0.516666666666667,0.333333333333333,0.760233918128655,0.651851851851852,0.701149425287356,0.666666666666667,0.712962962962963,0.486111111111111,0.696969696969697,0.73224043715847,0.625850340136054,0.642857142857143,0.679012345679012,0.568115942028986,0,0.878378378378378,0.483443708609272,0.209876543209877,0,0.84366576819407,0.419080068143101,0.3375,0.594827586206897,NA,0.848484848484849,0.631205673758865,0.925,0.301369863013699,0.438461538461538,0.541666666666667,0.666666666666667,0.5,0.4,0.678571428571429,0.928571428571429,0.34375
"Bouvet Island","BVT",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
