"Location","iso3code","sex_ratio_linkedin_overall_unfiltered","sex_ratio_ilostat_prof_tech_unfiltered","sex_ratio_ilostat_total_management_unfiltered","sex_ratio_ilostat_senior_middle_management_unfiltered","sex_ratio_linkedin_overall_filtered","sex_ratio_ilostat_prof_tech_filtered","sex_ratio_ilostat_total_management_filtered","sex_ratio_ilostat_senior_middle_management_filtered","audience_counts_satisfy_observation_filter","sex_ratio_edu_ict","sex_ratio_edu_stem","sex_ratio_labour_force_part","iws_int_pentr","educ_attn_gg_subindex_raw","enrol_sec_educ_gg_raw","labr_force_gg_raw","enrol_ter_educ_gg_raw","hdi_fem","hdi_male","hdi_tot","econ_opp_gg_subindex_raw","gdp_capita_2020_recent","li_pen_labor_force_proftech_female_male","li_pen_labor_force_proftech_sex_ratio","Internet.Online.model.prediction","Group_18-24","Group_25-34","Group_35-54","sex_ratio_Age_18-24","sex_ratio_Age_25-34","sex_ratio_Age_35-54","sex_ratio_Age_55+","sex_ratio_Age_18-24_25-34","sex_ratio_Age_18-24_35-54","sex_ratio_Age_18-24_55+","sex_ratio_Age_25-34_35-54","sex_ratio_Age_25-34_55+","sex_ratio_Age_35-54_55+","sex_ratio_Age_18-24_25-34_35-54","sex_ratio_Age_18-24_25-34_55+","sex_ratio_Age_18-24_35-54_55+","sex_ratio_Age_25-34_35-54_55+","sex_ratio_Age_18-24_25-34_35-54_55+","sex_ratio_Company industry_M.Professional,scientificandtechnicalactivities","sex_ratio_Company industry_H.Transportationandstorage","sex_ratio_Company industry_Q.Humanhealthandsocialworkactivities","sex_ratio_Company industry_R.Arts,entertainmentandrecreation","sex_ratio_Company industry_G.Wholesaleandretailtrade;repairofmotorvehiclesandmotorcycles","sex_ratio_Company industry_C.Manufacturing","sex_ratio_Company industry_K.Financialandinsuranceactivities","sex_ratio_Company industry_J.Informationandcommunication","sex_ratio_Company industry_F.Construction","sex_ratio_Company industry_N.Administrativeandsupportserviceactivities","sex_ratio_Company industry_S.Otherserviceactivities","sex_ratio_Company industry_P.Education","sex_ratio_Company industry_O.Publicadministrationanddefence;compulsorysocialsecurity","sex_ratio_Company industry_I.Accommodationandfoodserviceactivities","sex_ratio_Company industry_B.Miningandquarrying","sex_ratio_Job seniority_ChiefXOfficer(CxO)","sex_ratio_Job seniority_Director","sex_ratio_Job seniority_Entry-level","sex_ratio_Job seniority_Manager","sex_ratio_Job seniority_Owner","sex_ratio_Job seniority_Senior","sex_ratio_Job seniority_Training","sex_ratio_Job seniority_VicePresident(VP)"
"Namibia","NAM",0.852941176470588,1.10806451612903,0.773049645390071,0.930501930501931,0.852941176470588,1.10806451612903,0.773049645390071,0.930501930501931,TRUE,0.616949250107446,0.739002807098331,0.885678193589136,0.30199999,1,1.28,0.88999999,1.28,0.65100002,0.64200002,0.64700001,0.77999997,10036.592457889,0.964039785768937,0.769757684733282,0.945,0.353785254824344,0.341415141019297,0.24987629886195,1.10294117647059,0.815789473684211,0.655737704918033,0.48,0.951388888888889,0.891472868217054,0.990361445783133,0.744525547445255,0.76043956043956,0.621052631578947,0.863414634146341,0.906918238993711,0.848611111111111,0.718421052631579,0.837272727272727,1.03024574669187,0.468992248062016,1.8411214953271,1.39759036144578,0.758474576271186,0.445901639344262,1.16272965879265,0.382352941176471,0.303921568627451,0.869346733668342,NA,1.16299559471366,0.921985815602837,1.35416666666667,0.35,0.4,0.612903225806452,0.894736842105263,0.555555555555556,0.485714285714286,1,1.125,0.3125
"Nauru","NRU",0.65,1,0.564945226917058,NA,0.65,1,0.564945226917058,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12080.0745947298,2.0625,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal","NPL",0.333333333333333,0.547178757705073,0.152073732718894,0.16144018583043,0.333333333333333,0.547178757705073,0.152073732718894,0.16144018583043,TRUE,NA,NA,0.972972972972973,0.54100001,0.92000002,1.08,0.94,0.81999999,0.55199999,0.59799999,0.574,0.57999998,3558.39982750064,0.44948411482276,0.609185441941075,0.749,0.45363497113232,0.371155885471898,0.15553199010251,0.4,0.340425531914894,0.257142857142857,0.192857142857143,0.372549019607843,0.360526315789474,0.389965397923875,0.314705882352941,0.332128514056225,0.249579831932773,0.352845528455285,0.367748091603053,0.354568527918782,0.309887005649717,0.349284578696343,0.234083601286174,0.187610619469027,0.454545454545455,0.173745173745174,0.181141439205955,0.102748691099476,0.32249502322495,0.196094385679414,0.1425,0.241852487135506,0.432624113475177,0.338743824982357,0.245833333333333,0.229419703103914,0,0.178082191780822,0.227272727272727,0.291666666666667,0.21875,0.191011235955056,0.346938775510204,0.380952380952381,0.19
"Netherlands","NLD",0.725,0.894834505674708,0.371742112482853,0.351351351351351,0.725,0.894834505674708,0.371742112482853,0.351351351351351,TRUE,0.169216904117082,0.414285728428572,0.843370005790388,0.95899999,0.99000001,1.01,0.87,1.11,0.91299999,0.94400001,0.93099999,0.66000003,59686.8316301847,1.57143182491061,0.810205680941358,1,0.141104294478528,0.309815950920245,0.392638036809816,0.84,0.980392156862745,0.777777777777778,0.5,0.934210526315789,0.793814432989691,0.644067796610169,0.861788617886179,0.788235294117647,0.688679245283019,0.858108108108108,0.8,0.717557251908397,0.78343949044586,0.791208791208791,0.679399441340782,0.33974025974026,2.01856148491879,0.886268343815514,0.780558325024925,0.322443254271869,0.610234171725932,0.379808650588001,0.191025641025641,0.846715328467153,1.34266517357223,1.29239130434783,0.739959536825793,0.897058823529412,0.280263157894737,0.314285714285714,0.332,0.833333333333333,0.48,0.45,0.696969696969697,1.02857142857143,0.258620689655172
"Netherlands Antilles","ANT",0.84,0.951456310679612,NA,NA,0.84,0.951456310679612,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28855721393035,0.882857142857143,NA,0.0943231441048035,0.296943231441048,0.436681222707424,0.6875,1,0.785714285714286,0.407142857142857,0.914529914529915,0.767441860465116,0.495098039215686,0.866666666666667,0.732258064516129,0.65952380952381,0.844357976653696,0.724598930481283,0.663223140495868,0.757627118644068,0.750764525993884,1.01503759398496,NA,1.70731707317073,NA,0.397849462365591,NA,1.12587412587413,0.507042253521127,NA,NA,NA,1.70909090909091,NA,1.02564102564103,NA,NA,0.55,1,0.652173913043478,0.541666666666667,0.914893617021277,NA,0.421428571428571
"New Caledonia","NCL",0.863636363636364,1.08943089430894,NA,NA,0.863636363636364,1.08943089430894,NA,NA,TRUE,NA,NA,0.844645991808075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59533073929961,0.792740841248304,NA,0.205882352941176,0.333333333333333,0.411764705882353,1.33333333333333,1.125,0.615384615384615,NA,1.2,0.8,0.857142857142857,0.80952380952381,0.857142857142857,0.516129032258065,0.901960784313726,1,0.7,0.723404255319149,0.821428571428571,NA,NA,NA,NA,1.02439024390244,NA,NA,NA,NA,NA,NA,NA,1.25,NA,0.446153846153846,NA,0.464285714285714,0.982456140350877,0.555555555555556,0.188888888888889,0.923076923076923,NA,NA
"New Zealand","NZL",0.876404494382023,1.02152389151959,0.666666666666667,NA,0.876404494382023,1.02152389151959,0.666666666666667,NA,TRUE,0.300549937541089,0.537519157488702,0.859702681178657,0.88099998,1,1.02,0.88999999,1.38,0.89999998,0.93199998,0.917,0.76999998,43952.54842839,1.77810902896082,0.857938322987542,1,0.173598553345389,0.318264014466546,0.349005424954792,1,1.02298850574713,0.754545454545455,0.491525423728814,1.01481481481481,0.829113924050633,0.719626168224299,0.873096446700508,0.808219178082192,0.662721893491124,0.897959183673469,0.855670103092783,0.737327188940092,0.78515625,0.819078947368421,0.909016690856314,0.463953488372093,2.00765631646108,1.27708277881288,0.958196181698486,0.412939428948671,0.85654789449329,0.546590107786844,0.279166666666667,0.942314582586886,1.35570469798658,1.60619469026549,1.01202469938252,1.01069518716578,0.287378640776699,0.38,0.539473684210526,0.956521739130435,0.597560975609756,0.555555555555556,1,1.03703703703704,0.366666666666667
"Nicaragua","NIC",0.6875,1.0653996646171,0.54320987654321,1.15982721382289,0.6875,1.0653996646171,0.54320987654321,1.15982721382289,TRUE,NA,NA,0.589694883058293,0.43000001,1,1.1799999,0.63,NA,0.64200002,0.66500002,0.65799999,0.63,5631.20157305166,0.730717185385656,0.645297743966422,0.919,0.380995069475571,0.380995069475571,0.207306140744061,0.789473684210526,0.888888888888889,0.541666666666667,0.304761904761905,0.837837837837838,0.693548387096774,0.741232227488152,0.75,0.827860696517413,0.506382978723404,0.76530612244898,0.80920716112532,0.668882175226586,0.720872274143302,0.746379647749511,0.69020618556701,0.261904761904762,1.08522727272727,0.490084985835694,0.678767876787679,0.337094499294781,0.798353909465021,0.39918533604888,0.300970873786408,0.71078431372549,0.894736842105263,1.03125,0.881002087682672,0.873333333333333,0.223021582733813,0.4,0.571428571428571,0.694444444444444,0.454545454545455,0.416666666666667,0.7,0.718181818181818,0.8125
"Niger","NER",0.240740740740741,0.530881659594531,0.972386587771203,0.275510204081633,0.240740740740741,0.530881659594531,0.972386587771203,0.275510204081633,TRUE,0.295302056020001,0.219927416758558,0.724154416158719,0.041000001,NA,NA,NA,NA,0.317,0.391,0.354,NA,1269.6013993412,0.103172158915922,0.453473455693704,0.578,0.311133200795229,0.420477137176938,0.234592445328032,0.203846153846154,0.281818181818182,0.242105263157895,NA,0.247457627118644,0.22,0.180272108843537,0.267307692307692,0.255494505494505,0.205357142857143,0.246153846153846,0.233974358974359,0.204545454545455,0.250902527075812,0.235872235872236,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.266666666666667,NA,NA,NA,0,0.242424242424242,0.214285714285714,NA,0.239130434782609,NA,NA
"Nigeria","NGA",0.486666666666667,1.71852688805921,0.434720229555237,NA,0.486666666666667,1.71852688805921,0.434720229555237,NA,TRUE,NA,NA,0.82705597788528,0.55500001,0.81,0.89999998,0.75999999,0.72000003,0.49399999,0.56900001,0.53200001,0.69999999,5348.33979658925,0.134325211577267,0.283188275986927,0.799,0.312730854469343,0.455552819502586,0.20561438069441,0.5875,0.541666666666667,0.391666666666667,0.247058823529412,0.56,0.503571428571429,0.554802259887006,0.491666666666667,0.522178988326848,0.373722627737226,0.521153846153846,0.547242206235012,0.488888888888889,0.480636604774536,0.512476722532588,0.505683222139857,0.373097023403772,0.675520676124359,0.491067630795406,0.644877619815331,0.358311688311688,0.576094127996481,0.408856516694598,0.269108280254777,0.451336898395722,0.464571428571429,0.576329331046312,0.444079928422308,0.642857142857143,0.32059186189889,0.338028169014085,0.403225806451613,0.473684210526316,0.380952380952381,0.448275862068966,0.5,0.56,0.333333333333333
"Niue","NIU",0.591397849462366,1,NA,NA,0.591397849462366,1,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,0.591397849462366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norfolk Island","NFK",0.64,NA,NA,NA,0.64,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands","MNP",0.92,NA,NA,NA,0.92,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170506912442396,0.32258064516129,0.354838709677419,NA,NA,NA,NA,0.528571428571429,0.390243902439024,NA,0.884615384615385,0.560606060606061,0.41025641025641,0.6,0.359223300970874,0.278260869565217,0.621621621621622,0.466216216216216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06666666666667,NA,NA,0.958762886597938,NA,NA
"Norway","NOR",0.697674418604651,0.987257539289254,0.526717557251908,0.488095238095238,0.697674418604651,0.987257539289254,0.526717557251908,0.488095238095238,TRUE,0.178700412073664,0.397903229030648,0.898496800119065,0.99199998,1,1,0.94999999,1.45,0.94499999,0.95300001,0.95300001,0.81999999,66831.8688310396,1.04018238814477,0.706679251198143,0.998,0.164893617021277,0.338652482269504,0.404255319148936,0.9375,0.969072164948454,0.753846153846154,0.368421052631579,0.958620689655172,0.803370786516854,0.686046511627907,0.845814977973568,0.8,0.666666666666667,0.861818181818182,0.836065573770492,0.726851851851852,0.777358490566038,0.801916932907348,0.804065895548545,0.354634146341463,1.723979825768,1.05589870290303,0.945837275307474,0.346514213117357,0.660962877030162,0.43930220625962,0.231418918918919,0.813559322033898,1.07175712971481,1.24381625441696,1.25709747865793,1.01298701298701,0.336700336700337,0.2625,0.609756097560976,0.714285714285714,0.535714285714286,0.354838709677419,0.789473684210526,0.930232558139535,0.380952380952381
"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916666666666667,0.933333333333333,0.585365853658537,0.38,0.928571428571429,0.660377358490566,0.672727272727273,0.732394366197183,0.795,0.545098039215686,0.759036144578313,0.823076923076923,0.615873015873016,0.688888888888889,0.718279569892473,0.872347371857656,0.429299363057325,1.37043795620438,0.91851106639839,0.906957928802589,0.457753479125248,0.60814606741573,0.505365355135411,0.296190476190476,0.873493975903614,0.932203389830508,1.21134020618557,0.714887640449438,0.753768844221106,0.254054054054054,0.333333333333333,0.5125,0.789473684210526,0.511764705882353,0.463636363636364,0.74,1.11764705882353,0.347826086956522
"Pakistan","PAK",0.203225806451613,0.243569723403873,0.0515247108307045,NA,0.203225806451613,0.243569723403873,0.0515247108307045,NA,TRUE,NA,NA,0.268167359921703,0.21799999,0.81,0.79000002,0.28999999,1.0599999,0.465,0.62,0.56199998,0.31999999,4884.88138953447,0.53837160631035,0.834363990776618,0.61,0.403916768665851,0.391676866585067,0.180538555691554,0.245283018867925,0.207547169811321,0.134615384615385,0.0833333333333333,0.226415094339623,0.208860759493671,0.234982332155477,0.183544303797468,0.199646643109541,0.128378378378378,0.208333333333333,0.221715328467153,0.203389830508475,0.179176755447942,0.205014749262537,0.168773557552914,0.0970181043663472,0.274451612903226,0.260890926957091,0.125208482249226,0.0929161969184517,0.167926829268293,0.147759748123032,0.0787878787878788,0.188545150501672,0.217878192534381,0.366279069767442,0.136071428571429,0.145145631067961,0.0747503566333809,0.0984848484848485,0.130434782608696,0.144736842105263,0.0904761904761905,0.0961538461538462,0.18,0.238805970149254,0.0961538461538462
"Palau","PLW",0.842105263157895,0.857142857142857,0.426533523537803,0.550387596899225,0.842105263157895,0.857142857142857,0.426533523537803,0.550387596899225,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18496.4356870628,1.34615384615385,0.982456140350877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962962962962963,NA,NA,NA,NA,NA
"Palestinian Territory","PSE",0.38,0.702908587257618,0.251564455569462,NA,0.38,0.702908587257618,0.251564455569462,NA,TRUE,0.838484706197275,0.794486762430051,0.254532374100719,NA,NA,NA,NA,NA,NA,NA,NA,NA,5795.23155940964,0.561203741358276,0.540610837438424,NA,0.391120507399577,0.415785764622974,0.177942212825934,0.585714285714286,0.475,0.278481012658228,NA,0.526666666666667,0.474885844748858,0.551816958277254,0.410041841004184,0.450771055753262,0.251141552511416,0.474934036939314,0.51198963058976,0.456942003514938,0.395799676898223,0.464396284829721,0.276459854014599,NA,0.280120481927711,0.12015503875969,0,0.106583072100313,0.144303797468354,0.240030097817908,0.102040816326531,0.187134502923977,0.469945355191257,0.445333333333333,0.393617021276596,NA,NA,0,0.256410256410256,0.364,0.203703703703704,0.194444444444444,0.322222222222222,0.54375,0
